date;measure;test
2020-01-20;total_tested;1
2020-01-21;total_tested;1
2020-01-22;total_tested;4
2020-01-23;total_tested;22
2020-01-24;total_tested;27
2020-01-25;total_tested;27
2020-01-26;total_tested;51
2020-01-27;total_tested;61
2020-01-28;total_tested;116
2020-01-29;total_tested;187
2020-01-30;total_tested;246
2020-01-31;total_tested;312
2020-02-01;total_tested;371
2020-02-02;total_tested;429
2020-02-03;total_tested;490
2020-02-04;total_tested;607
2020-02-05;total_tested;714
2020-02-06;total_tested;885
2020-02-07;total_tested;1352
2020-02-08;total_tested;2097
2020-02-09;total_tested;2598
2020-02-10;total_tested;3110
2020-02-11;total_tested;4325
2020-02-12;total_tested;5624
2020-02-13;total_tested;6511
2020-02-14;total_tested;7242
2020-02-15;total_tested;7734
2020-02-16;total_tested;8161
2020-02-17;total_tested;8718
2020-02-18;total_tested;9772
2020-02-19;total_tested;11173
2020-02-20;total_tested;13202
2020-02-21;total_tested;16400
2020-02-22;total_tested;21586
2020-02-23;total_tested;26179
2020-02-24;total_tested;32756
2020-02-25;total_tested;40304
2020-02-26;total_tested;53553
2020-02-27;total_tested;66652
2020-02-28;total_tested;81167
2020-02-29;total_tested;94055
2020-03-01;total_tested;98921
2020-03-02;total_tested;109591
2020-03-03;total_tested;125851
2020-03-04;total_tested;136707
2020-03-05;total_tested;146541
2020-03-06;total_tested;164740
2020-03-07;total_tested;178189
2020-03-08;total_tested;188518
2020-03-09;total_tested;196618
2020-03-10;total_tested;210144
2020-03-11;total_tested;222395
2020-03-12;total_tested;234998
2020-03-13;total_tested;248647
2020-03-14;total_tested;261335
2020-03-15;total_tested;268212
2020-03-16;total_tested;274504
2020-03-17;total_tested;286716
2020-03-18;total_tested;295647
2020-03-19;total_tested;307024
2020-03-20;total_tested;316664
2020-03-21;total_tested;327509
2020-03-22;total_tested;331780
2020-03-23;total_tested;338036
2020-03-24;total_tested;348582
2020-03-25;total_tested;357896
2020-03-26;total_tested;364942
2020-03-27;total_tested;376961
2020-03-28;total_tested;387925
2020-03-29;total_tested;394141
2020-03-30;total_tested;395194
2020-03-31;total_tested;410564
2020-04-01;total_tested;421547
2020-04-02;total_tested;431743
2020-04-03;total_tested;443273
2020-04-04;total_tested;455032
2020-04-05;total_tested;461233
2020-04-06;total_tested;466804
2020-04-07;total_tested;477304
2020-04-08;total_tested;486003
2020-04-09;total_tested;494711
2020-04-10;total_tested;503051
2020-04-11;total_tested;510479
2020-04-12;total_tested;514621
2020-04-13;total_tested;518743
2020-04-14;total_tested;527438
2020-04-15;total_tested;534552
2020-04-16;total_tested;538775
2020-04-17;total_tested;546463
2020-04-18;total_tested;554834
2020-04-19;total_tested;559109
2020-04-20;total_tested;563035
2020-04-21;total_tested;571014
2020-04-22;total_tested;577959
2020-04-23;total_tested;583971
2020-04-24;total_tested;589520
2020-04-25;total_tested;595161
2020-04-26;total_tested;598285
2020-04-27;total_tested;601660
2020-04-28;total_tested;608514
2020-04-29;total_tested;614197
2020-04-30;total_tested;619881
2020-01-20;negative_tested;0
2020-01-21;negative_tested;0
2020-01-22;negative_tested;3
2020-01-23;negative_tested;21
2020-01-24;negative_tested;25
2020-01-25;negative_tested;25
2020-01-26;negative_tested;47
2020-01-27;negative_tested;56
2020-01-28;negative_tested;97
2020-01-29;negative_tested;155
2020-01-30;negative_tested;199
2020-01-31;negative_tested;245
2020-02-01;negative_tested;289
2020-02-02;negative_tested;327
2020-02-03;negative_tested;414
2020-02-04;negative_tested;462
2020-02-05;negative_tested;522
2020-02-06;negative_tested;693
2020-02-07;negative_tested;1001
2020-02-08;negative_tested;1134
2020-02-09;negative_tested;1683
2020-02-10;negative_tested;2552
2020-02-11;negative_tested;3535
2020-02-12;negative_tested;4811
2020-02-13;negative_tested;5921
2020-02-14;negative_tested;6679
2020-02-15;negative_tested;7148
2020-02-16;negative_tested;7647
2020-02-17;negative_tested;7980
2020-02-18;negative_tested;8923
2020-02-19;negative_tested;9973
2020-02-20;negative_tested;11238
2020-02-21;negative_tested;13016
2020-02-22;negative_tested;15116
2020-02-23;negative_tested;17520
2020-02-24;negative_tested;20292
2020-02-25;negative_tested;25447
2020-02-26;negative_tested;31576
2020-02-27;negative_tested;39318
2020-02-28;negative_tested;48593
2020-02-29;negative_tested;55723
2020-03-01;negative_tested;61825
2020-03-02;negative_tested;71580
2020-03-03;negative_tested;85484
2020-03-04;negative_tested;102965
2020-03-05;negative_tested;118965
2020-03-06;negative_tested;136624
2020-03-07;negative_tested;151802
2020-03-08;negative_tested;162008
2020-03-09;negative_tested;171778
2020-03-10;negative_tested;184179
2020-03-11;negative_tested;196100
2020-03-12;negative_tested;209402
2020-03-13;negative_tested;222728
2020-03-14;negative_tested;235615
2020-03-15;negative_tested;243778
2020-03-16;negative_tested;251297
2020-03-17;negative_tested;261105
2020-03-18;negative_tested;270888
2020-03-19;negative_tested;282555
2020-03-20;negative_tested;292487
2020-03-21;negative_tested;303006
2020-03-22;negative_tested;308343
2020-03-23;negative_tested;315447
2020-03-24;negative_tested;324105
2020-03-25;negative_tested;334481
2020-03-26;negative_tested;341332
2020-03-27;negative_tested;352410
2020-03-28;negative_tested;361883
2020-03-29;negative_tested;369530
2020-03-30;negative_tested;372002
2020-03-31;negative_tested;383886
2020-04-01;negative_tested;395075
2020-04-02;negative_tested;403882
2020-04-03;negative_tested;414303
2020-04-04;negative_tested;424732
2020-04-05;negative_tested;431425
2020-04-06;negative_tested;437225
2020-04-07;negative_tested;446323
2020-04-08;negative_tested;457761
2020-04-09;negative_tested;468779
2020-04-10;negative_tested;477303
2020-04-11;negative_tested;485929
2020-04-12;negative_tested;490321
2020-04-13;negative_tested;494815
2020-04-14;negative_tested;502223
2020-04-15;negative_tested;508935
2020-04-16;negative_tested;513894
2020-04-17;negative_tested;521642
2020-04-18;negative_tested;530631
2020-04-19;negative_tested;536205
2020-04-20;negative_tested;540380
2020-04-21;negative_tested;547610
2020-04-22;negative_tested;555144
2020-04-23;negative_tested;563130
2020-04-24;negative_tested;569212
2020-04-25;negative_tested;575184
2020-04-26;negative_tested;578558
2020-04-27;negative_tested;582027
2020-04-28;negative_tested;588559
2020-04-29;negative_tested;595129
2020-04-30;negative_tested;600482
2020-01-20;positive_tested;1
2020-01-21;positive_tested;1
2020-01-22;positive_tested;1
2020-01-23;positive_tested;1
2020-01-24;positive_tested;2
2020-01-25;positive_tested;2
2020-01-26;positive_tested;3
2020-01-27;positive_tested;4
2020-01-28;positive_tested;4
2020-01-29;positive_tested;4
2020-01-30;positive_tested;6
2020-01-31;positive_tested;11
2020-02-01;positive_tested;12
2020-02-02;positive_tested;15
2020-02-03;positive_tested;15
2020-02-04;positive_tested;16
2020-02-05;positive_tested;18
2020-02-06;positive_tested;23
2020-02-07;positive_tested;24
2020-02-08;positive_tested;24
2020-02-09;positive_tested;27
2020-02-10;positive_tested;27
2020-02-11;positive_tested;28
2020-02-12;positive_tested;28
2020-02-13;positive_tested;28
2020-02-14;positive_tested;28
2020-02-15;positive_tested;28
2020-02-16;positive_tested;29
2020-02-17;positive_tested;30
2020-02-18;positive_tested;31
2020-02-19;positive_tested;51
2020-02-20;positive_tested;104
2020-02-21;positive_tested;204
2020-02-22;positive_tested;433
2020-02-23;positive_tested;602
2020-02-24;positive_tested;833
2020-02-25;positive_tested;977
2020-02-26;positive_tested;1261
2020-02-27;positive_tested;1766
2020-02-28;positive_tested;2337
2020-02-29;positive_tested;3150
2020-03-01;positive_tested;3736
2020-03-02;positive_tested;4212
2020-03-03;positive_tested;4812
2020-03-04;positive_tested;5328
2020-03-05;positive_tested;5766
2020-03-06;positive_tested;6284
2020-03-07;positive_tested;6767
2020-03-08;positive_tested;7134
2020-03-09;positive_tested;7382
2020-03-10;positive_tested;7513
2020-03-11;positive_tested;7755
2020-03-12;positive_tested;7869
2020-03-13;positive_tested;7979
2020-03-14;positive_tested;8086
2020-03-15;positive_tested;8126
2020-03-16;positive_tested;8236
2020-03-17;positive_tested;8320
2020-03-18;positive_tested;8413
2020-03-19;positive_tested;8565
2020-03-20;positive_tested;8652
2020-03-21;positive_tested;8799
2020-03-22;positive_tested;8897
2020-03-23;positive_tested;8961
2020-03-24;positive_tested;9037
2020-03-25;positive_tested;9137
2020-03-26;positive_tested;9241
2020-03-27;positive_tested;9332
2020-03-28;positive_tested;9478
2020-03-29;positive_tested;9583
2020-03-30;positive_tested;9661
2020-03-31;positive_tested;9786
2020-04-01;positive_tested;9887
2020-04-02;positive_tested;9976
2020-04-03;positive_tested;10062
2020-04-04;positive_tested;10156
2020-04-05;positive_tested;10237
2020-04-06;positive_tested;10284
2020-04-07;positive_tested;10331
2020-04-08;positive_tested;10384
2020-04-09;positive_tested;10423
2020-04-10;positive_tested;10450
2020-04-11;positive_tested;10480
2020-04-12;positive_tested;10512
2020-04-13;positive_tested;10537
2020-04-14;positive_tested;10564
2020-04-15;positive_tested;10591
2020-04-16;positive_tested;10613
2020-04-17;positive_tested;10635
2020-04-18;positive_tested;10653
2020-04-19;positive_tested;10661
2020-04-20;positive_tested;10674
2020-04-21;positive_tested;10683
2020-04-22;positive_tested;10694
2020-04-23;positive_tested;10702
2020-04-24;positive_tested;10708
2020-04-25;positive_tested;10718
2020-04-26;positive_tested;10728
2020-04-27;positive_tested;10738
2020-04-28;positive_tested;10752
2020-04-29;positive_tested;10761
2020-04-30;positive_tested;10765
2020-01-20;recovered;0
2020-01-21;recovered;0
2020-01-22;recovered;0
2020-01-23;recovered;0
2020-01-24;recovered;0
2020-01-25;recovered;0
2020-01-26;recovered;0
2020-01-27;recovered;0
2020-01-28;recovered;0
2020-01-29;recovered;0
2020-01-30;recovered;0
2020-01-31;recovered;0
2020-02-01;recovered;0
2020-02-02;recovered;0
2020-02-03;recovered;0
2020-02-04;recovered;0
2020-02-05;recovered;1
2020-02-06;recovered;2
2020-02-07;recovered;2
2020-02-08;recovered;2
2020-02-09;recovered;3
2020-02-10;recovered;4
2020-02-11;recovered;4
2020-02-12;recovered;7
2020-02-13;recovered;7
2020-02-14;recovered;7
2020-02-15;recovered;9
2020-02-16;recovered;9
2020-02-17;recovered;10
2020-02-18;recovered;12
2020-02-19;recovered;16
2020-02-20;recovered;16
2020-02-21;recovered;17
2020-02-22;recovered;18
2020-02-23;recovered;18
2020-02-24;recovered;24
2020-02-25;recovered;24
2020-02-26;recovered;24
2020-02-27;recovered;26
2020-02-28;recovered;27
2020-02-29;recovered;28
2020-03-01;recovered;30
2020-03-02;recovered;31
2020-03-03;recovered;34
2020-03-04;recovered;41
2020-03-05;recovered;88
2020-03-06;recovered;108
2020-03-07;recovered;118
2020-03-08;recovered;130
2020-03-09;recovered;166
2020-03-10;recovered;247
2020-03-11;recovered;288
2020-03-12;recovered;333
2020-03-13;recovered;510
2020-03-14;recovered;714
2020-03-15;recovered;834
2020-03-16;recovered;1137
2020-03-17;recovered;1401
2020-03-18;recovered;1540
2020-03-19;recovered;1947
2020-03-20;recovered;2233
2020-03-21;recovered;2612
2020-03-22;recovered;2909
2020-03-23;recovered;3166
2020-03-24;recovered;3507
2020-03-25;recovered;3730
2020-03-26;recovered;4144
2020-03-27;recovered;4528
2020-03-28;recovered;4811
2020-03-29;recovered;5033
2020-03-30;recovered;5228
2020-03-31;recovered;5408
2020-04-01;recovered;5567
2020-04-02;recovered;5828
2020-04-03;recovered;6021
2020-04-04;recovered;6325
2020-04-05;recovered;6463
2020-04-06;recovered;6598
2020-04-07;recovered;6694
2020-04-08;recovered;6776
2020-04-09;recovered;6973
2020-04-10;recovered;7117
2020-04-11;recovered;7243
2020-04-12;recovered;7368
2020-04-13;recovered;7447
2020-04-14;recovered;7534
2020-04-15;recovered;7616
2020-04-16;recovered;7757
2020-04-17;recovered;7829
2020-04-18;recovered;7937
2020-04-19;recovered;8042
2020-04-20;recovered;8114
2020-04-21;recovered;8213
2020-04-22;recovered;8277
2020-04-23;recovered;8411
2020-04-24;recovered;8501
2020-04-25;recovered;8635
2020-04-26;recovered;8717
2020-04-27;recovered;8764
2020-04-28;recovered;8854
2020-04-29;recovered;8922
2020-04-30;recovered;9059
2020-01-20;deaths;0
2020-01-21;deaths;0
2020-01-22;deaths;0
2020-01-23;deaths;0
2020-01-24;deaths;0
2020-01-25;deaths;0
2020-01-26;deaths;0
2020-01-27;deaths;0
2020-01-28;deaths;0
2020-01-29;deaths;0
2020-01-30;deaths;0
2020-01-31;deaths;0
2020-02-01;deaths;0
2020-02-02;deaths;0
2020-02-03;deaths;0
2020-02-04;deaths;0
2020-02-05;deaths;0
2020-02-06;deaths;0
2020-02-07;deaths;0
2020-02-08;deaths;0
2020-02-09;deaths;0
2020-02-10;deaths;0
2020-02-11;deaths;0
2020-02-12;deaths;0
2020-02-13;deaths;0
2020-02-14;deaths;0
2020-02-15;deaths;0
2020-02-16;deaths;0
2020-02-17;deaths;0
2020-02-18;deaths;0
2020-02-19;deaths;0
2020-02-20;deaths;1
2020-02-21;deaths;2
2020-02-22;deaths;2
2020-02-23;deaths;6
2020-02-24;deaths;8
2020-02-25;deaths;12
2020-02-26;deaths;12
2020-02-27;deaths;13
2020-02-28;deaths;13
2020-02-29;deaths;17
2020-03-01;deaths;18
2020-03-02;deaths;22
2020-03-03;deaths;28
2020-03-04;deaths;32
2020-03-05;deaths;35
2020-03-06;deaths;42
2020-03-07;deaths;44
2020-03-08;deaths;50
2020-03-09;deaths;51
2020-03-10;deaths;54
2020-03-11;deaths;60
2020-03-12;deaths;66
2020-03-13;deaths;67
2020-03-14;deaths;72
2020-03-15;deaths;75
2020-03-16;deaths;75
